,业绩比较基准,基准对应的基金数目,基金对应平均比例
0,活期存款利率(税后),151,1
1,同期七天通知存款利率(税后),117,1
2,七天通知存款利率(税后),108,1
3,人民币活期存款利率(税后),52,1
4,银行活期存款利率(税后),43,1
5,中国人民银行公布的七天通知存款利率(税后),37,1
6,人民币七天通知存款利率(税后),21,1
7,人民币活期存款基准利率(税后),21,1
8,同期中国人民银行公布的七天通知存款利率(税后),17,1
9,7天通知存款利率(税后),12,1
10,同期7天通知存款利率(税后),10,1
11,中国人民银行公布的人民币活期存款基准利率(税后),10,1
12,七天通知存款利率(税前),9,1
13,当期银行活期存款利率(税后),9,1
14,一年期银行定期存款利率(税后),8,1
15,六个月银行定期存款利率(税后),7,1
16,同期活期存款利率(税后),6,1
17,金融机构人民币活期存款基准利率(税后),5,1
18,按中国人民银行公布币活期存款利率(税后),4,1
19,当期银行个人活期存款利率(税前),4,1
20,中国人民银行公布的活期存款基准利率收益率(税后),4,1
21,中国人民银行公布的活期存款基准利率的收益率(税后),4,1
22,中国人民银行最新公布的七天通知存款利率(税后),3,1
23,同期七天通知存款利率,3,1
24,同期中国人民银行公布的七天通知存款利率(税前),2,1
25,一年期定期存款收益率(税后),2,1
26,同期七天存款利率(税后),2,1
27,当期银行活期存款收益率(税后),2,1
28,活期存款基准利率,2,1
29,银行六个月定期储蓄存款利率(税后),2,1
30,银行活期利率(税后),2,1
31,当期银行个人活期储蓄利率(税后),2,1
32,银行活期存款利率,2,1
33,人民币一年期银行定期储蓄存款利率(税后),2,1
34,银行半年期定期存款利率(税后),2,1
35,当期银行个人活期储蓄利率(税前),2,1
36,一年期银行定期储蓄存款的利率(税后),2,1
37,一年期定期存款利率(税后),2,1
